organization,employer_type,job_title,job_area,location,location_area,closing_date,closing_time,contract_type,work_pattern,salary,apply_url,job_reference,date_checked,source_url
The Dukeries Academy,Education,Teacher of Computing,Education & Training,"Newark, Nottinghamshire, NG22 9TD",Newark & Sherwood,2026-09-30,09:00,Other,Full-time or Part-time,"£32,916.00 - £45,352.00 Annually (Actual)",https://teaching-vacancies.service.gov.uk/jobs/teacher-of-computing-the-dukeries-academy,,2026-09-21,https://teaching-vacancies.service.gov.uk/jobs/teacher-of-computing-the-dukeries-academy
The Joseph Whitaker School,Education,"Director of English, Literacy and Reading",Education & Training,"The Joseph Whitaker School, Rainworth, NG21 0AG",Newark & Sherwood,2026-10-05,,Other,Not stated,,https://teaching-vacancies.service.gov.uk/jobs/director-of-english-literacy-and-reading-the-joseph-whitaker-school,,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
The Joseph Whitaker School,Education,Head of Mathematics Faculty,Education & Training,"The Joseph Whitaker School, Rainworth, NG21 0AG",Newark & Sherwood,2026-10-05,,Other,Not stated,,https://teaching-vacancies.service.gov.uk/jobs/head-of-mathematics-faculty-the-joseph-whitaker-school,,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
The Parkgate Academy,Education,Teaching Assistant,Education & Training,"Newark, Nottinghamshire, NG22 9TH",Newark & Sherwood,2026-09-30,12:00,Fixed-term,Full-time,"NJE Grade 2, points 2-4",https://teaching-vacancies.service.gov.uk/jobs/teaching-assistant-the-parkgate-academy,,2026-09-21,https://teaching-vacancies.service.gov.uk/jobs/teaching-assistant-the-parkgate-academy
Thoresby Vale Primary Academy,Education,Administration Assistant,Administration & Business Support,"Mansfield, Nottinghamshire, NG21 9TA",Mansfield,2026-09-25,23:59,Other,Full-time,"£22,569.72 Annually (Actual)",https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-thoresby-vale-primary-academy,,2026-09-21,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-thoresby-vale-primary-academy
Thoresby Vale Primary Academy,Education,Kitchen Assistant,"Property, Facilities & Operations","Mansfield, Nottinghamshire, NG21 9TA",Mansfield,2026-09-25,23:59,Other,Part-time,"£8,744.19 Annually (Actual)",https://teaching-vacancies.service.gov.uk/jobs/kitchen-assistant-thoresby-vale-primary-academy,,2026-09-21,https://teaching-vacancies.service.gov.uk/jobs/kitchen-assistant-thoresby-vale-primary-academy
Underwood Church of England Primary School,Education,SEN Midday Supervisor,Children & Young People,"Underwood Church of England Primary School, Underwood",Ashfield,2026-10-01,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31156-SEN-Midday-Supervisor/en-GB,31156,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
University of Nottingham,Education,Senior Lawyer (Commercial),Legal & Governance,Nottingham,Nottingham,2026-09-21,,Permanent,Full-time,"£59,966 to £73,686 per annum",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=REG1476026,REG1476026,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Senior Lawyer (Regulatory and Contentious),Legal & Governance,Nottingham,Nottingham,2026-09-21,,Permanent,Full-time,"£59,966 to £73,686 per annum",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=REG2051326,REG2051326,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Research Associate/Fellow (Fixed Term),Other,Nottingham,Nottingham,2026-09-24,,Fixed-term,Full-time,"£32,080 to £47,389 per annum",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=MED2117126,MED2117126,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Deputy Director of Alumni Engagement,Community & Outreach,Nottingham,Nottingham,2026-09-27,,Other,Not stated,"£59,966 to £73,686 per annum pro-rata",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=DARO385326,DARO385326,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Director of Digital Partnerships,IT & Digital,Nottingham,Nottingham,2026-09-27,,Permanent,Full-time,"£93,700 to £114,500 per annum",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=DTS1892326X1,DTS1892326X1,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Enterprise Architect (Data),IT & Digital,Nottingham,Nottingham,2026-09-27,,Other,Not stated,"£59,966 to £73,686 per annum pro-rata",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=DTS445426,DTS445426,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Enterprise Architect (Network & Communications),IT & Digital,Nottingham,Nottingham,2026-09-27,,Other,Not stated,"£59,966 to £73,686 per annum pro-rata",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=DTS597526,DTS597526,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Senior Technical Specialist (Fixed Term),Other,Nottingham,Nottingham,2026-09-27,,Fixed-term,Full-time,"£35,608 to £47,389 per annum",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=SCI1745726X1,SCI1745726X1,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,"Teaching Associate - French (Fixed Term, Part Time)",Education & Training,Nottingham,Nottingham,2026-09-28,,Fixed-term,Part-time,"£35,608 to £47,389 per annum pro-rata",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=ARTS2138026,ARTS2138026,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Assistant Finance Manager (Fixed Term),Finance & Procurement,Nottingham,Nottingham,2026-09-30,,Fixed-term,Not stated,"£35,608 to £47,389 per annum pro-rata",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=FAB685926,FAB685926,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Clinical Assistant Professor in Medical Education and Assessment (Part Time),Health & Clinical,Nottingham,Nottingham,2026-09-30,,Other,Part-time,"£45,943 to £77,196 per annum pro-rata",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=MED248525X2,MED248525X2,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Research Associate / Fellow (Fixed term),Other,Nottingham,Nottingham,2026-09-30,,Fixed-term,Full-time,"£32,080 to £35,608 per annum",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=SCI913826,SCI913826,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Senior Early Years Practitioner,Education & Training,Nottingham,Nottingham,2026-09-30,,Other,Full-time,"£28,940 to £31,082 per annum",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=REG225026,REG225026,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Teaching Associate (Fixed Term),Education & Training,Nottingham,Nottingham,2026-10-01,,Fixed-term,Full-time,"£35,608 to £47,389 per annum",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=SOC2124126,SOC2124126,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Anatomy Teaching Technician (Multiple Position),Education & Training,Nottingham,Nottingham,2026-10-02,,Other,Full-time,"£26,908 to £28,890 per annum",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=MED5556326,MED5556326,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Sports Centre Receptionist (Part-Time),Customer Service,Nottingham,Nottingham,2026-10-04,,Other,Part-time,"£25,353 to £26,379 per annum pro-rata",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=REG519426,REG519426,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,"Academic and Professional Tutor (APT) (Fixed Term, Part Time)",Education & Training,Nottingham,Nottingham,2026-10-05,,Fixed-term,Part-time,"£59,966 to £67,468 per annum pro-rata",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=SCI1532826,SCI1532826,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Fitness Instructor,"Leisure, Sport & Culture",Nottingham,Nottingham,2026-10-05,,Other,Full-time,"£26,908 to £28,890 per annum",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=REG2143426,REG2143426,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Head of Pathway Partnerships (Part Time),Management & Leadership,Nottingham,Nottingham,2026-10-05,,Other,Part-time,"£46,049 to £58,225 per annum pro-rata",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=REG2042626,REG2042626,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Senior Mechanical Design Engineer (Fixed Term),Other,Nottingham,Nottingham,2026-10-05,,Fixed-term,Full-time,"£46,049 to £58,225 per annum",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=ENG858626X2,ENG858626X2,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Deputy Director of Development,Management & Leadership,Nottingham,Nottingham,2026-10-09,,Permanent,Full-time,"£59,966 to £73,686 per annum pro-rata",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=DARO164126,DARO164126,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Research Associate/Fellow in Placenta and Maternal Health Data Science (Fixed Term),Health & Clinical,Nottingham,Nottingham,2026-10-09,,Fixed-term,Full-time,"£32,080 to £47,389 per annum",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=MED802626,MED802626,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Research Associate / Fellow (Fixed Term),Other,Nottingham,Nottingham,2026-10-11,,Fixed-term,Full-time,"£32,080 to £43,482 per annum",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=SCI130326,SCI130326,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Research Associate / Fellow in Power Electronics (Fixed Term),Other,Nottingham,Nottingham,2026-10-11,,Fixed-term,Full-time,"£32,080 to £47,389 per annum",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=ENG2160226,ENG2160226,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
University of Nottingham,Education,Senior Data Protection Adviser,Legal & Governance,Nottingham,Nottingham,2026-10-11,,Other,Not stated,"£46,049 to £58,225 per annum pro-rata",https://jobs.nottingham.ac.uk/vacancy.aspx?ref=REG806726,REG806726,2026-09-21,https://jobs.nottingham.ac.uk/vacancies.aspx?cat=-1
Worksop Priory C of E Primary Academy,Education,Site Manager,"Property, Facilities & Operations","Worksop Priory C of E Primary Academy, Worksop",Bassetlaw,2026-09-30,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31177-Site-Manager/en-GB,31177,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
